"`No` - forwards the request to a different page but keeps the URL the same so the browser does not know any difference. `Yes` - creates a new HTTP Request and goes to specified URL.","`Nein` - leitet die Anfrage auf eine andere Seite, sondern hält die URL gleich, so der Browser weiß, macht keinen Unterschied. `Ja` - erstellt eine neue HTTP-Request und geht zu bestimmten URL."
"`Yes` - visitor get page with CAPTCHA and has to solve it.","`Ja` - Besucher-Seite mit CAPTCHA bekommen und hat es zu lösen."
"Add to Blacklist","Zur Blacklist hinzufügen"
"Add to Pending List","In den Warteliste"
"Add To Whitelist","Zu Whitelist hinzufügen"
"Additional","Zusätzlich"
"Allowed number of requests from one visitor in time frame (it specifies above). If visitor has greater number of ""clicks"", then he is considered as bot.","Erlaubt Anzahl von Anfragen von einem Besucher in Zeitrahmen (es gibt oben). Wenn Besucher größere Anzahl von ""Klicks"" hat, dann wird er als Bot betrachtet."
"An error occurred while saving.","Fehler beim Speichern."
"Ask visitor to confirm he is a human","Stellen Sie Besucher zu bestätigen, dass er ein Mensch ist"
"Blacklist","Schwarze Liste"
"Blacklisted Crawler/Bot","Schwarzen Liste Crawler / Bot"
"Blacklisted IP","schwarzen Liste IP"
"Bot Protection","Bot-Schutz"
"Confirm human","Bestätigen Mensch"
"Confirm Human (CAPTCHA)","Bestätigen Human (CAPTCHA)"
"Crawler '%s' from IP %s has been added to %s.","Crawler '%s' von IP %s wurde in %s hinzugefügt."
"Crawler/Bot","Crawler/Bot"
"Crawler/Bot Name","Crawler/Bot-Name"
"Custom page as response","Benutzerdefinierte Seite als Antwort"
"Default action with detected bot","Standardaktion mit erkannten Bot"
"Detect bots and crawlers","Erkennen Bots und Crawler"
"Edit Blacklisted Visitor","Bearbeiten der schwarzen Liste Besucher"
"Edit pending list item","Bearbeiten Pending Listeneintrag"
"Edit Whitelisted Visitor","Bearbeiten der weißen Liste Besucher"
"Enable Bot Protection","Aktivieren Sie Bot-Schutz"
"Enable detection","Erkennung aktivieren"
"Failed Attempts","Fehlgeschlagene Versuche"
"Failed confirmation attempts","Fehlgeschlagene Versuche Bestätigung"
"For blacklisted visitor","Für die schwarze Liste gesetzt Besucher"
"For visitor to confirm he is human","Für Besucher zu bestätigen ist er ein Mensch"
"From IP","von IP"
"Human","Mensch"
"Human confirmed?","Menschliche bestätigt?"
"I'm a human","ich bin ein Mensch"
"Information","Information"
"IP","IP"
"IP %s has been added to %s.","IP %s wurde in %s hinzugefügt."
"IP address","IP Adresse"
"IP address from","IP-Adresse aus"
"IP address to","IP-Adresse"
"Item %s has been deleted.","Artikel %s wurde gelöscht."
"Item %s has been saved.","Artikel %s wurde gespeichert."
"Item ID","Artikel Identifikationsnummer"
"Last time seen at","Zuletzt gesehen bei"
"Manage Blacklist","verwalten Schwarze Liste"
"Manage Pending List","Verwalten Liste anhängiger"
"Manage Whitelist","verwalten Whitelist"
"Maximun number of ""clicks""","Maximun Zahl der ""Klicks"""
"Modified at","Geändert am"
"Move current item to blacklist","Bewegen Sie aktuelle Element schwarze Liste"
"Move current item to whitelist","Bewegen Sie aktuelle Element in die weiße Liste"
"Move to blacklist","Move to schwarze Liste"
"Move to whitelist","Move to Whitelist"
"New Blacklisted Visitor","New schwarzen Liste Besucher"
"New pending list item","Neue anstehenden Listenelement"
"New Whitelisted Visitor","New weißen Liste Besucher"
"No information found...","Keine Angaben gefunden ..."
"Warteliste","anstehend"
"Suspicious list","Warteliste"
"Please, continue shopping.","Bitte, Einkauf fortsetzen."
"Range","Angebot"
"Redirect to response page","Umleiten zu Antwortseite"
"Relative to Website Base URL","In Bezug auf Website-Basis-URL"
"Req. Confirm","Bestätigen"
"Response page","Antwortseite"
"Response page URL Key","Antwortseite URL Key"
"Show custom response page","Zeigen Sie benutzerdefinierte Antwortseite"
"This blacklist item no longer exists.","Diese schwarze Liste Artikel existiert nicht mehr."
"This pending list item no longer exists.","Dieser Artikel existiert nicht mehr."
"This whitelist item no longer exists.","Dieses White Artikel existiert nicht mehr."
"Time frame to analyze (seconds)","Zeitrahmen zu analysieren (in Sekunden)"
"Unable to find an item to delete.","Nicht imstande, ein Element zu finden zu löschen."
"URL key of CMS page (without store base URL). Blacklisted visitor see this page when comes to your site.","URL Schlüssel von CMS-Seite (ohne Speicher Basis-URL). Schwarzen Liste Besucher diese Seite sehen, wann kommt auf Ihre Website."
