"`No` - forwards the request to a different page but keeps the URL the same so the browser does not know any difference. `Yes` - creates a new HTTP Request and goes to specified URL.","`No` - transmet la demande à une autre page, mais conserve l'URL de la même sorte que le navigateur ne sait pas de différence. `Yes` - crée une nouvelle requête HTTP et va à l'URL spécifiée."
"`Yes` - visitor get page with CAPTCHA and has to solve it.","`Yes` - visiteur obtenir la page avec CAPTCHA et doit résoudre."
"Add to Blacklist","Ajouter à la liste noire"
"Add to Pending List","Ajouter à la liste en attente"
"Add To Whitelist","Ajouter à la liste blanche"
"Additional","Supplémentaire"
"Allowed number of requests from one visitor in time frame (it specifies above). If visitor has greater number of ""clicks"", then he is considered as bot.","Autorisé nombre de demandes provenant d'un visiteur en laps de temps (il précise ci-dessus). Si visiteur a un plus grand nombre de ""clics"", alors il est considéré comme bot."
"An error occurred while saving.","Une erreur est survenue lors de l'enregistrement."
"Ask visitor to confirm he is a human","Demandez visiteur pour confirmer qu'il est un être humain"
"Blacklist","Blacklist"
"Blacklisted Crawler/Bot","Blacklisted Crawler / Bot"
"Blacklisted IP","Blacklisted IP"
"Bot Protection","Protection de Bot"
"Confirm human","Confirmer humaine"
"Confirm Human (CAPTCHA)","Confirmez Human (CAPTCHA)"
"Crawler '%s' from IP %s has been added to %s.","Crawler '%s' de IP %s a été ajouté à %s."
"Crawler/Bot","Crawler / Bot"
"Crawler/Bot Name","Crawler / Bot Nom"
"Custom page as response","page personnalisée comme réponse"
"Default action with detected bot","Action par défaut avec bot détecté"
"Detect bots and crawlers","Détecter les robots et les robots"
"Edit Blacklisted Visitor","Modifier Blacklisted Visiteur"
"Edit pending list item","Modifier la liste en attente que"
"Edit Whitelisted Visitor","Modifier la liste blanche Visiteur"
"Enable Bot Protection","Activer la protection Bot"
"Enable detection","Activer la détection"
"Failed Attempts","tentatives"
"Failed confirmation attempts","tentatives de confirmation Failed"
"For blacklisted visitor","Pour visiteur sur liste noire"
"For visitor to confirm he is human","Pour visiteur pour confirmer qu'il est humain"
"From IP","De IP"
"Human","Humain"
"Human confirmed?","Human confirmé?"
"I'm a human","je suis un humain"
"Information","Information"
"IP","IP"
"IP %s has been added to %s.","IP %s a été ajouté à %s."
"IP address","adresse IP"
"IP address from","Adresse IP"
"IP address to","adresse IP"
"Item %s has been deleted.","Point %s a été supprimé."
"Item %s has been saved.","Point %s a été enregistré."
"Item ID","ID de l'article"
"Last time seen at","La dernière fois vu à"
"Manage Blacklist","Gérer Blacklist"
"Manage Pending List","Gérer la liste en attente"
"Manage Whitelist","Gérer Whitelist"
"Maximun number of ""clicks""","nombre maximun de ""clics"""
"Modified at","Modifié à"
"Move current item to blacklist","Déplacer l'élément en cours à la liste noire"
"Move current item to whitelist","Déplacer l'élément en cours à la liste blanche"
"Move to blacklist","Déplacer à la liste noire"
"Move to whitelist","Déplacer vers whitelist"
"New Blacklisted Visitor","New Blacklisted Visiteur"
"New pending list item","Nouvelle liste en attente que"
"New Whitelisted Visitor","Nouveau Visiteur liste blanche"
"No information found...","Aucune information trouvée ..."
"Suspicious","en attendant"
"Suspicious list","liste en attente"
"Please, continue shopping.","S'il vous plaît, continuer vos achats."
"Range","Gamme"
"Redirect to response page","Redirection vers la page de réponse"
"Relative to Website Base URL","Relative à l'URL Site Web de base"
"Req. Confirm","Req. Confirmer"
"Response page","page de réponse"
"Response page URL Key","Réponse URL de la page clé"
"Show custom response page","Afficher la page de réponse personnalisée"
"This blacklist item no longer exists.","Cet article de la liste noire n'existe plus."
"This pending list item no longer exists.","Cette liste élément en attente n'existe plus."
"This whitelist item no longer exists.","Cet article whitelist n'existe plus."
"Time frame to analyze (seconds)","Temps cadre pour analyser (secondes)"
"Unable to find an item to delete.","Impossible de trouver un élément à supprimer."
"URL key of CMS page (without store base URL). Blacklisted visitor see this page when comes to your site.","clé URL de la page CMS (sans magasin URL de base). visiteur Blacklisted voir cette page quand vient à votre site."
"URL key of CMS page (without store base URL). Visitor see this page when he need to confirm that he is a human.","clé URL de la page CMS (sans magasin URL de base). Visiteur voir cette page quand il a besoin de confirmer qu'il est un être humain."
"User Agent","Agent utilisateur"
"Whitelist","Whitelist"
"Read more at <a id=""ask-about-1"">useragentstring.com</a> or <a id=""ask-about-2"">google.com</a> about this crawler.", "En savoir plus sur <a id=""ask-about-1"">useragentstring.com</a> ou <a id=""ask-about-2"">google.com</a> sur ce robot."
"1. User agent check<br/>2. Place honeypots (optional)<br/>3. Visitor activity log (optional)", "1. User agent check<br/>2. Place honeypots (optional)<br/>3. Visitor activity log (optional)"
"Add honeypots in forms","Add honeypots in forms"
"Option adds non-required input field to every form. That field is not visible for humans.","Option adds non-required input field to every form. That field is not visible for humans."
"Number of seconds. It determines time frame for analyzing visitor activity.<br/>Value <b>0 disables</b> visitor activity check.","Number of seconds. It determines time frame for analyzing visitor activity.<br/>Value <b>0 disables</b> visitor activity check."
"Protect forms","Protect forms"
"Visitor can not submit form (search, add to cart, post review etc.) if JavaScript is disabled. A lot of bots do not execute JS, so they won’t be able to submit form.","Visitor can not submit form (search, add to cart, post review etc.) if JavaScript is disabled. A lot of bots do not execute JS, so they won’t be able to submit form."
